iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
TZA,Tanzania,2023,current,1,66617606,79062403837,,,,,,,,,,,,,,,
TZA,Tanzania,2023,proj1,1,66617606,79062403837,,,,,,,,,,,,,,,
TZA,Tanzania,2023,proj2,1,66617606,79062403837,,,,,,,,,,,,,,,
TZA,Tanzania,2025,current,1,,,,,,,,,,,,,,,,,
TZA,Tanzania,2025,proj1,1,,,,,,,,,,,,,,,,,
TZA,Tanzania,2025,proj2,1,,,,,,,,,,,,,,,,,
UGA,Uganda,2017,current,1,40177388,30744473841,,141,,0.380941176,1.412647059,2814490,1820.9,185517,1426.4,188674,1580.8,202135,1043.4,22100,1561.3
UGA,Uganda,2017,proj1,1,40177388,30744473841,,141,,0.380941176,1.412647059,2814490,1820.9,185517,1426.4,188674,1580.8,202135,1043.4,22100,1561.3
UGA,Uganda,2017,proj2,1,40177388,30744473841,,141,,0.380941176,1.412647059,2814490,1820.9,185517,1426.4,188674,1580.8,202135,1043.4,22100,1561.3
UGA,Uganda,2018,current,2,41565831,32927025620,,,,0.380941176,0.809941176,3442430,1388.1,141982,1429.7,199266,996.3,268493,1064.8,23206,1598.8
UGA,Uganda,2018,proj1,2,41565831,32927025620,,,,0.380941176,0.809941176,3442430,1388.1,141982,1429.7,199266,996.3,268493,1064.8,23206,1598.8
UGA,Uganda,2018,proj2,1,41565831,32927025620,,,,0.380941176,0.809941176,3442430,1388.1,141982,1429.7,199266,996.3,268493,1064.8,23206,1598.8
UGA,Uganda,2020,current,1,44457152,37600368240,,,,0.380941176,0.940882353,3500000,1719.1,70000,1384.3,275000,1244.3,162000,960.2,25000,1666.7
UGA,Uganda,2020,proj1,1,44457152,37600368240,,,,0.380941176,0.940882353,3500000,1719.1,70000,1384.3,275000,1244.3,162000,960.2,25000,1666.7
UGA,Uganda,2020,proj2,1,44457152,37600368240,,,,0.380941176,0.940882353,3500000,1719.1,70000,1384.3,275000,1244.3,162000,960.2,25000,1666.7
